c53e d755
9ecb 3291
42a4 0e4d
401e 7215
83e4 6014
db7f 8f95
edfc ec6d
14b4 d021
ead5 51b4
d9fe 8642
37f1 0ff9
daf9 df6a
fe93 4f06
9e8f aaa3
8981 a7c9
175c d243
14ba 8490
25c1 a90f
6a8e b977
a1bc 7c55
23f7 d906
8431 a2c7
70f9 cc6f
2fdc 86e4
3721 8494
8d60 38a5
df45 9eca
d1fd bab0
319c e3b5
00c5 60e1
34e3 47e9
21f6 ed5b
f8cb cf53
f1bc 338f
ab86 f25d
792b 5e2d
8eb2 5900
af3d 6146
9f56 f92d
668d a753
cf22 e544
b61d 2643
a52b 6294
360c 2cf3
a2d7 592f
9ad7 5f83
ed5a b3d5
5ae2 22e3
9b4b f404
b524 de4b
95d3 97ba
9505 beb3
56f7 2067
dd07 488d
771e a109
5b6d 39e9
d7b1 516e
0422 14f0
a92d d213
e7d9 4314
2cca a1d9
56ea 516c
4264 2019
39ce c9ac
b752 6fd7
a1e4 68b1
a76a 5e3b
d6ee 17ae
5096 3858
0308 4f87
00d7 2f0c
5c94 ba72
d69b 40b7
0797 46e8
4149 3f73
312e 07f6
538b 8b6c
f352 7b42
ebfc cd56
7668 9570
474e 904d
f43a e2a8
295f 3485
43b4 0a85
c4f7 de88
c4ae b8cd
f18b a260
0e78 77ab
398f 390e
3ee8 d0f2
7ffb b708
c5c3 f5c3
b667 3bb7
28a1 84eb
f6d8 a345
36e8 d9c5
478c 308d
855f 1fe3
9d93 5014
c9a0 27e5
8811 9f6f
eda2 129e
c9dd 746a
165f 0424
5f3e f6ed
c526 f671
f1db e200
7992 c95f
3993 c1f7
3627 1a1b
9f86 f7de
9732 0ff0
8042 4b3e
0730 2fc1
c0d0 4b39
257b 4398
91e6 06fb
d2c2 74e4
dcda 18e5
c3ed 024e
96a2 3334
0dd9 a067
58f7 b544
3179 d7fd
a4e5 a7cd
c1f8 2db2
482b 911a
191b cefc
cc32 0095
37d6 9a57
d728 9949
a42e e1f1
0808 b975
336a 6066
4262 3ba4
df22 6b92
47e7 2b8f
4a72 4115
1d54 97b8
bfbc ec25
c83a ed7f
ce50 581d
d326 bc4d
5cde 0b24
fcb6 aa90
9509 3fe7
d560 48d9
6871 be41
5129 6396
5437 e188
6613 29c2
c332 1517
c8b9 7342
6a25 5632
5741 9a4d
85e6 57a8
f822 4818
e7bc 889d
7464 7da4
ab63 4cb5
7ce1 a681
aa5e 680a
d829 9897
962c f118
b57d fe75
2165 da7e
eea3 6539
89e4 0e9e
18f0 6b21
2db6 f06f
8e9f 3fb4
e642 ccf7
4804 1d8b
ace9 5962
537b 377f
34a9 a106
203f 61d3
9347 e3d5
b589 2b4a
2e9e 5ef4
09cc 7f96
ca1b 8b30
00c3 d495
b1b2 bc24
d328 0e22
935b 8926
acbc 0011
079a 34dd
39e0 4d69
ceaf 8593
3bbb 4a73
7ee9 3452
7183 7a2b
2eea c511
7f01 e3be
379c 8dcf
7bf1 8c87
8160 dfda
2230 5ab1
acb5 e867
1826 cc7d
8163 6c5b
49f5 00c7
026c 36da
3d4e cee0
5aba 52dc
9787 b777
3535 f47d
48f5 e55c
a253 7bf5
bd0f 1d9f
396c 4ec9
5eca d707
b65b a7d0
77f6 7432
44cd 2f21
43d5 982a
ce68 049a
2fb3 adb9
a8c5 6a5a
3015 9008
2bdd 6c3f
f886 7e0e
fca9 92aa
2eb3 2930
94a6 5e24
c0bb d137
e46f cc2c
27e5 e577
2e66 9d31
d4b2 c38c
80e1 34de
d03a cf37
1a64 23ec
aceb e798
9ffc 3ae6
29e6 3307
b714 e964
dd39 4c55
ab98 2e64
a3de fa83
60f7 5f9b
0450 d59e
5eea d7e9
7935 e639
0f6d fc2b
f309 0030
34fc 8bb5
1c0b e431
0540 91be
6594 7c4b
9a3b 2f5f
6f0e 9ab0
2e7c a9fd
5fb1 aeed
6ae4 1529
10e1 8526
fc3d b6f8
dd09 5977
6ffd 98dc
059d 8049
454b 154a
0c5a 48a6
adfc 41fc
4f1b 481d
f869 f0e8
3468 93cf
3ed2 336d
d942 9ac5
730a 3dfe
ced7 8492
0928 afc0
f3fb 235f
2a2c a60d
7ef4 e82a
3a9a 9a31
67d3 cbb9
29b8 b1e2
4595 c200
d51a 8245
44e8 3aa1
2b30 2967
1f31 7dde
9e9e 2a6d
ead5 1cce
a50c 4499
ae1c 7085
a480 7c29
2dfd 42ac
3b0f f90f
ae47 48fe
4ffc d931
c5f3 df08
b8d7 024c
6a07 a39a
c124 2837
aa18 034a
a18c e0a4
38f7 543f
c34b 6ad5
47b1 b2c2
660e 7946
ae39 854d
b4ab b95c
4c91 13c8
aba8 6179
b5f2 ecc4
f15f 2f63
c74d 13ab
2384 61ad
673f d7a3
abd2 7795
a58a 4a6c
c473 ce7d
e39e 54c6
8352 c486
59c8 ffbe
a100 fe3f
21fe e67b
b783 c019
2916 c857
7c6f 084c
2c49 f771
fecf 76f8
ee3d b58b
38bc f134
3d9d 3608
e858 7f37
a918 2009
f5c7 da0b
54d8 ee34
7584 ed1d
73cd 765a
afdb f65f
412f 1394
6716 08eb
8d1f 7893
8ac5 3bf9
6843 96e6
cf84 8f67
40ed 8e83
1613 a10a
f300 3fc4
b3bc f60a
2c1a befc
25e6 704b
8402 55ea
bc6c 5f86
215f 4055
8a36 978c
3196 e0e5
c9a0 9dcc
6e2e d6be
70e0 be7e
00f1 e5ee
0b11 3ddd
a7fe 0c71
0cff a12d
e537 f089
d210 0c3e
6a09 81fb
4996 cc99
e134 0df4
d9d6 0448
e144 de50
0954 5c42
8fe0 ab67
cd0e 0b44
8ce8 e6b0
5749 aa42
ec8c 03fb
8a47 14c2
cbd2 f28c
c909 4023
5b7b e8e8
e4dd 0313
e6f1 a9e3
a074 4bdf
c1cc 085c
d783 77a8
32f5 b8b0
8b0d 6434
8229 e329
3cd5 a0e6
da2d 1fd7
0b13 63a1
0021 835d
3c82 7f83
8cd7 d015
2a64 2955
cf49 e464
600d 998c
2414 494e
133f c48b
910b b191
9298 7e90
3865 9fa1
f6b3 4794
0c63 de3e
2142 ebf3
3382 4aef
5eb4 3f6f
cbfe cadf
53bd 22dd
48c5 4b83
594e 87fa
72ad dbe5
3ed9 1e34
4fd1 11a2
bb62 af3d
a0af f220
0ac2 342e
e122 5915
00b7 2b08
4968 2f79
8cd0 c35e
7003 1728
f55e 6bd0
e3a0 343d
d464 9452
cef3 9cb8
6738 859d
7b6c 81a5
4f6a af84
c4a1 3b54
0387 7fe1
ef63 81ad
eb27 5d4b
3828 18db
0996 46d1
4004 19f9
6d78 5223
25e2 0dab
1f46 0baa
8155 b528
90c4 44d2
1ea4 5369
a7e7 81fc
f457 f33f
12c8 ab3b
22df 8904
2765 f359
b06d 8bae
653d c700
e91f c067
3801 1c23
956a 64dc
e7e3 0590
3fb7 6085
d9ea 33f7
9119 645e
6ba9 35ea
4032 4495
84bb e9b7
4830 74de
521a efec
9afc b457
38ce bc69
53de 5f7d
a9dd 440a
d6f4 a28f
a46b 9fa8
b911 7c1e
50d0 0158
3d48 c84c
8514 23d7
2ba7 1226
d254 ce8c
f637 17ea
4f76 e5cc
e1be 9129
c7d5 6011
f434 cde3
ded3 7cdf
71c9 ecaf
10db fbab
acff 7417
6338 201b
2a6c 722e
555a 196e
2edd bd82
7110 24d9
2412 8664
8ea6 95a2
1641 c647
4e3e 13c3
b84e f8ed
d2ac fe00
a36b eef9
0c6f 392a
a5aa 0be3
d3f0 ef1a
a967 fd1f
1888 75a2
dda9 a280
2f04 bd57
3b6a 12a1
9a24 b359
9c78 ae06
e27d be5d
5c45 b07c
5a9b 114d
4c30 2cd4
6254 55c4
b0c0 76ef
149c b7a7
be9f f2d3
e1b8 bc48
4a27 0d56
5acc b83d
92c4 0a9d
1bcd 72e8
df44 5c52
af43 805a
468f 506b
fc45 1ed5
a1d5 24ae
daff b463
c823 1821
0043 164b
1459 bb44
c542 9358
0619 6511
6536 971f
c400 bc7f
8fa6 96f7
73cc fe26
2ede de0c
1f40 ef2b
3c03 e276
3f20 3db4
e351 99b1
62c2 e9c0
e735 abee
ad8c 6012
1fe1 44b1
5c11 ae8b
f7a6 6d12
6876 22e0
d677 e5d3
d663 6b6b
e7a1 af3b
82bf 9fca
e804 e65a
1429 33ab
5981 06c2
c34a cd6c
491e fdb5
7a39 ead6
c191 b95f
a7f6 5dcc
7c56 e2ed
89dc f8da
0df9 e891
fb0f 4357
912d 20df
c8c6 144b
d3a2 fb79
bfc3 a083
ca7b 0733
c855 6611
f178 d1df
ef96 4770
1ad4 6e72
519b aad6
3cd9 45b0
de3a 4de6
72af 37d5
f75e d692
58c8 e223
2cee cf55
13e9 2c11
7228 03c3
a8cd 884e
fe89 1993
a336 6be5
8530 b794
9f75 b6dc
9911 b547
0d14 b5f7
450e f3f5
a23f 0ba2
fca4 6d3f
d9de 92a2
00aa 78e9
a168 a7d0
8ed1 6a6c
b138 c201
e450 0583
9bd5 e328
7cd0 4283
40e3 9956
f0c0 56be
c6fc 807a
f201 d488
f16c c82c
1d44 2a32
5d7d 400d
e1fc 10d9
ad21 fca2
f46f b042
dc20 49c5
284d db2c
d334 c30e
d46e 4e93
aa06 cd7c
6d06 76d7
967a cdc1
6825 1db8
4e8c 065e
6f9f f414
052d 2206
afcf 0142
09d4 acff
7c66 f9bb
6260 5390
5249 165e
dbeb c86b
0baf f450
76e3 90fd
66ff 2077
abb1 cea3
3249 47e6
19bf ea82
5100 52eb
ea78 287c
fa4b a2f0
29a9 ca4c
28f4 353d
62fd 1699
a2a7 648d
beca b68b
f5e1 546c
7975 bcbd
af7a 0178
f82b cd13
4235 a200
8f85 074e
3609 1543
7ea8 c90a
abfd 1765
ab36 51f5
0349 b8f9
5625 a950
d3e2 1fc3
5c80 0fb6
e054 c819
cff1 6a26
c310 9726
3abf e4cf
0056 deae
d953 e0d8
6d98 ef10
3e27 f668
871f 9d76
a87d 35fe
8fcf 4509
7a94 7239
1515 3b78
d7ea dedb
9f5c c76e
e84f 873e
e0b7 a292
2cd5 d31d
7b32 6c38
f5ab 68dd
93ba f860
e1b9 9ee7
98f9 ce6b
7f09 de38
3df0 a0c4
648e 0291
7af2 f6b2
e571 c1de
01ea 8a68
4bc9 e503
1abe 5619
6188 c67b
efe8 2278
d2a2 6bc2
8284 7bcc
5cf0 b743
4eda cc54
21b3 7419
db6d 4276
5e0c 3b82
82e9 88cf
095d 0941
b456 9364
d42d 1026
95c6 7410
4b85 a1d4
b73c 27a3
20d0 b718
4b0d 7086
021e 45d3
be7f e93b
7f86 2d76
dcf2 ca2e
a9ad 764a
5b97 f463
1bda 1393
e788 e4b2
9ec8 ecd8
b7e9 43c2
cdf5 d621
4807 936a
4229 6af0
d103 1ba6
314e 3f29
3a02 4fc1
fabb 9e04
79f0 acea
fe53 6bab
9a9c f07a
c0e3 0c4e
6177 5774
2e03 305e
34dd 9f41
3868 0a39
9edf c6aa
17f3 54d3
61e5 35fe
5fa7 e364
e1a4 b5bf
0d68 b39a
c9c1 ed81
c2a2 21d0
4afd a4e4
9665 c784
bd45 9bad
ad7e 4fde
62cc 27e6
4651 4b56
a537 2708
ffd1 7918
d42e 2954
e405 20b5
de37 ebfa
b2c6 c71a
82fb 9e96
